Curve Start Month,Curve Update Date,Ancillary Service Settlement,Balancing Account Proceeds,Base Point Deviation,Black Start,Block Load Transfer Settlement,CRR Auction Revenue,ERCOT Admin Fee,ERO Pass-Through Fee,ERS Settlement,Emergency Energy,Firm Fuel Service Settlement,High Dispatch Limit Override ,ORDC Settlement,RMR - Capacity,RMR - Services,RT Revenue Neutrality,RUC,VSS - Lost Opportunity,VSS - Reactive Power,ECRS,NSRS,RRS,Reg Down,Reg Up,HH
2025-06-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,1.48811,-0.53295,-0.01888,0.02181,0.0,-3.39644,0.64187,0.07428,0.14592,0.01586,0.06858,0.00023,0.1601,0.0,0.0,0.15102,-0.02428,0.0,0.0,8.0,7.0,5.0,4.0,9.0,3.789
2025-07-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,1.41658,-0.53901,-0.01892,0.02246,0.0,-3.44668,0.6529,0.07606,0.14912,0.01601,0.06971,0.00023,0.16623,0.0,0.0,0.15064,-0.02483,0.0,0.0,13.5,7.0,6.0,5.0,9.0,3.927
2025-08-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,1.32772,-0.53755,-0.0187,0.0228,0.0,-3.44879,0.65501,0.07679,0.15026,0.01594,0.06985,0.00024,0.16899,0.0,0.0,0.14816,-0.02504,0.0,0.0,37.8,28.0,17.0,8.5,14.5,4.062
2025-09-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,1.21929,-0.52891,-0.01823,0.02284,0.0,-3.40473,0.64825,0.07648,0.14938,0.01566,0.06906,0.00024,0.16964,0.0,0.0,0.14379,-0.02492,0.0,0.0,40.6,29.0,25.0,9.25,15.5,4.096
2025-10-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,1.10029,-0.51407,-0.01755,0.02261,0.0,-3.32027,0.63378,0.07525,0.1467,0.01519,0.06745,0.00024,0.16776,0.0,0.0,0.13786,-0.02449,0.0,0.0,6.5,3.5,3.5,6.0,11.5,4.056
2025-11-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.99968,-0.50461,-0.01708,0.0226,0.0,-3.26997,0.62592,0.07477,0.14549,0.01489,0.06651,0.00024,0.16665,0.0,0.0,0.13348,-0.0243,0.0,0.0,12.0,3.0,3.0,5.5,10.0,4.123
2025-12-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.9122,-0.50249,-0.01684,0.02292,0.0,-3.26703,0.62702,0.07536,0.14638,0.01481,0.06654,0.00024,0.16819,0.0,0.0,0.13113,-0.02447,0.0,0.0,12.75,4.0,5.0,6.5,11.0,4.449
2026-01-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.83663,-0.50548,-0.01679,0.02349,0.0,-3.29723,0.63463,0.07673,0.14877,0.01488,0.06722,0.00024,0.17066,0.0,0.0,0.13012,-0.02489,0.0,0.0,13.75,5.0,5.0,7.0,12.0,4.825
2026-02-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.90759,-0.50812,-0.01671,0.01924,0.0,-3.32539,0.64182,0.07806,0.15109,0.01493,0.06788,0.00025,0.17335,0.0,0.0,0.12905,-0.02529,0.0,0.0,18.5,7.0,11.0,9.0,18.0,5.075
2026-03-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.8119,-0.50624,-0.01649,0.01929,0.0,-3.32398,0.64335,0.07871,0.15208,0.01486,0.06792,0.00025,0.17427,0.0,0.0,0.12685,-0.02548,0.0,0.0,17.25,6.0,11.0,10.0,17.0,4.878
2026-04-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.73898,-0.51322,-0.01658,0.01968,0.0,-3.38057,0.65646,0.08073,0.15576,0.01506,0.06912,0.00026,0.1766,0.0,0.0,0.12687,-0.02611,0.0,0.0,3.5,7.0,9.0,9.0,17.0,4.455
2026-05-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.65332,-0.52147,-0.01668,0.02011,0.0,-3.4461,0.67111,0.08301,0.15988,0.01528,0.07053,0.00027,0.18083,0.0,0.0,0.12719,-0.02682,0.0,0.0,5.0,4.0,7.0,8.0,15.0,3.885
2026-06-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.568,-0.53072,-0.01682,0.0206,0.0,-3.5185,0.6873,0.08548,0.16438,0.01553,0.07207,0.00028,0.18478,0.0,0.0,0.12773,-0.02759,0.0,0.0,4.0,4.0,6.0,8.0,14.0,3.857
2026-07-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.46906,-0.53398,-0.01675,0.02085,0.0,-3.55161,0.69582,0.08702,0.16708,0.01561,0.07281,0.00028,0.18703,0.0,0.0,0.12682,-0.02806,0.0,0.0,4.75,4.0,7.0,8.0,14.0,3.948
2026-08-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.36699,-0.5312,-0.01651,0.02087,0.0,-3.54439,0.69658,0.08758,0.16789,0.01551,0.07272,0.00029,0.18654,0.0,0.0,0.12448,-0.02822,0.0,0.0,50.0,47.0,28.0,10.0,17.0,4.07
2026-09-01 00:00:00+00:00,2025-04-04 12:00:00+00:00,0.26031,-0.5269,-0.0162,0.02083,0.0,-3.52699,0.69527,0.08789,0.16823,0.01537,0.07242,0.00029,0.18589,0.0,0.0,0.12185,-0.02829,0.0,0.0,65.5,48.0,36.0,10.0,17.0,4.083
